name                              | abbrev | utc_offset | is_dst
 Etc/GMT-7                        | +07    | 07:00:00   | f
 Etc/GMT+2                        | -02    | -02:00:00  | f
 Etc/GMT+5                        | -05    | -05:00:00  | f
 Etc/GMT                          | GMT    | 00:00:00   | f
 Etc/Zulu                         | UTC    | 00:00:00   | f
 Etc/GMT+11                       | -11    | -11:00:00  | f
 Etc/GMT-13                       | +13    | 13:00:00   | f
 Etc/GMT-14                       | +14    | 14:00:00   | f
 Etc/GMT+10                       | -10    | -10:00:00  | f
 Etc/GMT-12                       | +12    | 12:00:00   | f
 Etc/GMT0                         | GMT    | 00:00:00   | f
 Etc/UCT                          | UTC    | 00:00:00   | f
 Etc/GMT+0                        | GMT    | 00:00:00   | f
 Etc/GMT+7                        | -07    | -07:00:00  | f
 Etc/GMT+9                        | -09    | -09:00:00  | f
 Etc/GMT-2                        | +02    | 02:00:00   | f
 Etc/GMT-5                        | +05    | 05:00:00   | f
 Etc/GMT+8                        | -08    | -08:00:00  | f
 Etc/GMT+6                        | -06    | -06:00:00  | f
 Etc/GMT+1                        | -01    | -01:00:00  | f
 Etc/UTC                          | UTC    | 00:00:00   | f
 Etc/GMT-4                        | +04    | 04:00:00   | f
 Etc/GMT-3                        | +03    | 03:00:00   | f
 NZ-CHAT                          | +1345  | 13:45:00   | t
 Asia/Dushanbe                    | +05    | 05:00:00   | f
 Asia/Qostanay                    | +06    | 06:00:00   | f
 Asia/Calcutta                    | IST    | 05:30:00   | f
 Asia/Urumqi                      | +06    | 06:00:00   | f
 Asia/Karachi                     | PKT    | 05:00:00   | f
 Asia/Khandyga                    | +09    | 09:00:00   | f
 Asia/Thimbu                      | +06    | 06:00:00   | f
 Asia/Thimphu                     | +06    | 06:00:00   | f
 Asia/Vladivostok                 | +10    | 10:00:00   | f
 Asia/Vientiane                   | +07    | 07:00:00   | f
 Asia/Shanghai                    | CST    | 08:00:00   | f
 Asia/Ulan_Bator                  | +08    | 08:00:00   | f
 Asia/Aden                        | +03    | 03:00:00   | f
 Asia/Muscat                      | +04    | 04:00:00   | f
 Asia/Damascus                    | EET    | 02:00:00   | f
 Asia/Jerusalem                   | IST    | 02:00:00   | f
 Asia/Brunei                      | +08    | 08:00:00   | f
 Asia/Ulaanbaatar                 | +08    | 08:00:00   | f
 Asia/Amman                       | EET    | 02:00:00   | f
 Asia/Kuching                     | +08    | 08:00:00   | f
 Asia/Tel_Aviv                    | IST    | 02:00:00   | f
 Asia/Seoul                       | KST    | 09:00:00   | f
 Asia/Atyrau                      | +05    | 05:00:00   | f
 Asia/Pyongyang                   | KST    | 09:00:00   | f
 Asia/Hovd                        | +07    | 07:00:00   | f
 Asia/Hebron                      | EET    | 02:00:00   | f
 Asia/Kuwait                      | +03    | 03:00:00   | f
 Asia/Tomsk                       | +07    | 07:00:00   | f
 Asia/Manila                      | PST    | 08:00:00   | f
 Asia/Chita                       | +09    | 09:00:00   | f
